3047.TW 訊舟 現價:13.65
3048.TW 益登 現價:23.00
3049.TW 精金 現價:9.20
3050.TW 鈺德 現價:15.60
3051.TW 力特 現價:32.65
3052.TW 夆典 現價:11.30
3054.TW 立萬利 現價:20.30
3055.TW 蔚華科 現價:39.85
3056.TW 富華新 現價:26.60
3057.TW 喬鼎 現價:11.40
3058.TW 立德 現價:19.70
3059.TW 華晶科 現價:34.10
3060.TW 銘異 現價:19.80
3062.TW 建漢 現價:23.25
3064.TWO 泰偉 現價:11.60
3066.TWO 李洲 現價:16.90
3067.TWO 全域 現價:36.90
3071.TWO 協禧 現價:33.95
3073.TWO 天方能源 現價:-
3078.TWO 僑威 現價:83.5
3081.TWO 聯亞 現價:101.0
3083.TWO 網龍 現價:48.50
3085.TWO 新零售 現價:15.55
3086.TWO 華義 現價:66.1
3088.TWO 艾訊 現價:83.5
3089.TWO 億杰 現價:-
3090.TW 日電貿 現價:57.4
3092.TW 鴻碩 現價:35.35
3093.TWO 港建* 現價:30.80
3094.TW 聯傑 現價:38.95
3095.TWO 及成 現價:26.30
3105.TWO 穩懋 現價:155.0
3114.TWO 好德 現價:26.60
3115.TWO 富榮綱 現價:10.50
3118.TWO 進階 現價:30.00
3122.TWO 笙泉 現價:45.20
3128.TWO 昇銳 現價:30.05
3130.TW 一零四 現價:202.0
3131.TWO 弘塑 現價:468.0
3138.TW 耀登 現價:149.0
3141.TWO 晶宏 現價:93.2
3147.TWO 大綜 現價:77.6
3149.TW 正達 現價:17.20
3152.TWO 璟德 現價:226.0
3162.TWO 精確 現價:44.45
3163.TWO 波若威 現價:91.1
3164.TW 景岳 現價:23.20
3167.TW 大量 現價:49.90
3169.TWO 亞信 現價:126.0
3171.TWO 新洲 現價:17.95
3176.TWO 基亞 現價:61.0
3178.TWO 公準 現價:83.1
3188.TWO 鑫龍騰 現價:16.40
3189.TW 景碩 現價:97.8
3191.TWO 和進 現價:11.10
3202.TWO 樺晟 現價:16.00
3205.TWO 佰研 現價:45.40
3206.TWO 志豐 現價:45.15
3207.TWO 耀勝 現價:70.8
3209.TW 全科 現價:34.55
3211.TWO 順達 現價:79.0
3213.TWO 茂訊 現價:71.2
3217.TWO 優群 現價:135.5
3218.TWO 大學光 現價:306.5
3219.TWO 倚強科 現價:46.85
3221.TWO 台嘉碩 現價:27.75
3224.TWO 三顧 現價:47.25
3226.TWO 至寶電 現價:53.3
3227.TWO 原相 現價:127.0
3228.TWO 金麗科 現價:144.0
3229.TW 晟鈦 現價:14.50
3230.TWO 錦明 現價:8.95
3231.TW 緯創 現價:92.1
3232.TWO 昱捷 現價:22.60
3234.TWO 光環 現價:28.70
3236.TWO 千如 現價:24.00
3252.TWO 海灣 現價:21.55
3257.TW 虹冠電 現價:71.3
3259.TWO 鑫創 現價:24.50
3260.TWO 威剛 現價:101.5
3264.TWO 欣銓 現價:67.9
3265.TWO 台星科 現價:85.9
3266.TW 昇陽 現價:13.60
3268.TWO 海德威 現價:24.35
3272.TWO 東碩 現價:33.85
3276.TWO 宇環 現價:23.00
3284.TWO 太普高 現價:16.70
3285.TWO 微端 現價:22.55
3287.TWO 廣寰科 現價:23.00
3288.TWO 點晶 現價:-
3289.TWO 宜特 現價:90.3
3290.TWO 東浦 現價:27.85
3293.TWO 鈊象 現價:647
3294.TWO 英濟 現價:20.05
3296.TW 勝德 現價:15.65
3297.TWO 杭特 現價:16.75
3303.TWO 岱稜 現價:27.40
3305.TW 昇貿 現價:61.6
3306.TWO 鼎天 現價:48.50
3308.TW 聯德 現價:40.80
3310.TWO 佳穎 現價:90.4
3311.TW 閎暉 現價:37.05
3312.TW 弘憶股 現價:19.15
3313.TWO 斐成 現價:10.80
3317.TWO 尼克森 現價:59.5
3321.TW 同泰 現價:15.95
3322.TWO 建舜電 現價:25.00
3323.TWO 加百裕 現價:28.60
3324.TWO 雙鴻 現價:313.0
3325.TWO 旭品 現價:31.80
3332.TWO 幸康 現價:43.90
3338.TW 泰碩 現價:58.7
3339.TWO 泰谷 現價:18.45
3346.TW 麗清 現價:48.55
3349.TWO 寶德 現價:17.70
3354.TWO 律勝 現價:14.15
3356.TW 奇偶 現價:41.70
3357.TWO 臺慶科 現價:107.5
